Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Pt	Eng	O/ORG	14.18	2.84	-0.8	13.379999999999999
.	Punct	O	N/A	N/A	N/A	N/A
1	Num	O	N/A	N/A	N/A	N/A
We	Eng	O	46.45	7.69	-0.8	45.650000000000006
can	Eng	O	46.96	33.02	-0.8	46.160000000000004
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
go	Eng	O	39.77	24.21	-0.8	38.970000000000006
back	Eng	O	45.64	16.76	-0.8	44.84
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
our	Eng	O	44.71	13.25	-0.8	43.910000000000004
religious	Eng	O	50.54	27.62	-0.8	49.74
roots	Eng	O	35.88	16.26	-0.8	35.080000000000005
tho	Eng	O	34.23	18.58	-0.8	33.43
…	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
We	Eng	O	46.45	7.69	-0.8	45.650000000000006
have	Eng	O	60.11	28.54	-0.8	59.31
been	Eng	O	52.66	22.28	-0.8	51.86
diluted	Eng	O	31.84	25.96	-0.8	31.04
so	Eng	O	43.57	28.06	-0.8	42.77
much	Eng	O	50.21	32.0	-0.8	49.410000000000004
by	Eng	O	35.52	13.53	-0.8	34.720000000000006
the	Eng	O	60.83	27.05	-0.8	60.03
colonizers	Eng	O	37.39	25.42	-0.8	36.59
slaves	Eng	O	35.24	23.23	-0.8	34.440000000000005
and	Eng	O	58.08	26.56	-0.8	57.28
the	Eng	O	60.83	27.05	-0.8	60.03
natives	Eng	O	49.11	32.18	-0.8	48.31
.	Punct	O	N/A	N/A	N/A	N/A
Not	Eng	O/ORG	48.64	20.26	-0.8	47.84
all	Eng	O/ORG	47.74	25.64	-0.8	46.940000000000005
Latinos	Spn	O/ORG	23.27	42.82	-2.38	40.44
have	Eng	O	60.11	28.54	-2.38	57.73
native	Eng	O	49.28	27.84	-0.8	48.480000000000004
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
