Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
YES	Eng	O	47.22	27.23	-0.8	46.42
BROO	Eng	O/ORG	24.68	16.65	-0.8	23.88
DAT	Eng	O/ORG	27.62	14.53	-0.8	26.82
BE	Eng	O	42.62	20.92	-0.8	41.82
HAPPENING	Eng	O	68.28	12.13	-0.8	67.48
TO	Eng	O	48.13	29.93	-0.8	47.330000000000005
MY	Eng	O	41.2	20.91	-0.8	40.400000000000006
NEPHEW	Eng	O	26.42	4.25	-0.8	25.62
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
