Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
this	Eng	O	59.86	22.07	-0.8	59.06
is	Eng	O	44.66	21.08	-0.8	43.86
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
mom	Eng	O	34.1	16.88	-0.8	33.300000000000004
.	Punct	O	N/A	N/A	N/A	N/A
when	Eng	O	56.49	15.56	-0.8	55.690000000000005
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
mom	Eng	O	34.1	16.88	-0.8	33.300000000000004
was	Eng	O	51.72	16.52	-0.8	50.92
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
kid	Eng	O/ORG	38.19	9.68	-0.8	37.39
speaking	Eng	O/ORG	60.78	9.45	-0.8	59.980000000000004
spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
in	Eng	O	45.41	25.29	-0.8	44.61
school	Eng	O	54.1	16.16	-0.8	53.300000000000004
was	Eng	O	51.72	16.52	-0.8	50.92
frowned	Eng	O	38.94	13.97	-0.8	38.14
upon	Eng	O	36.69	15.54	-0.8	35.89
.	Punct	O	N/A	N/A	N/A	N/A
so	Eng	O	43.57	28.06	-0.8	42.77
she	Eng	O	47.98	20.49	-0.8	47.18
didn	Eng	O	48.99	16.56	-0.8	48.190000000000005
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
teach	Eng	O	49.19	17.71	-0.8	48.39
it	Eng	O	50.11	11.76	-0.8	49.31
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
me	Spn	O	41.15	43.0	-2.38	40.62
.	Punct	O	N/A	N/A	N/A	N/A
i	Eng	O/ORG	42.31	11.38	-2.38	39.93
understand	Eng	O/ORG	71.53	17.59	-0.8	70.73
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
but	Eng	O/ORG	51.93	13.76	-0.8	51.13
now	Eng	O/ORG	47.81	13.39	-0.8	47.010000000000005
im	Eng	O/ORG	20.85	11.84	-0.8	20.05
trying	Eng	O/ORG	62.95	14.11	-0.8	62.150000000000006
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
