Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
One	Eng	O	49.51	25.47	-0.8	48.71
time	Eng	O	53.99	32.6	-0.8	53.190000000000005
when	Eng	O	56.49	15.56	-0.8	55.690000000000005
asking	Eng	O	50.7	13.15	-0.8	49.900000000000006
for	Eng	O	47.94	28.79	-0.8	47.14
ice	Eng	O	37.08	23.83	-0.8	36.28
coffee	Eng	O	34.47	22.93	-0.8	33.67
I	Eng	O/OTROS	42.31	11.38	-0.8	41.510000000000005
said	Eng	O	47.81	17.28	-0.8	47.010000000000005
cafe	Eng	O	29.63	27.08	-0.8	28.83
con	Spn	O	33.09	47.17	-2.38	44.79
hielo	Spn	O	14.84	38.8	-1.01	37.79
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
