Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Yes	Eng	O	47.22	27.23	-0.8	46.42
our	Eng	O	44.71	13.25	-0.8	43.910000000000004
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
Speaking	Eng	O/ORG	60.78	9.45	-0.8	59.980000000000004
community	Eng	O/ORG	60.27	16.19	-0.8	59.470000000000006
should	Eng	O/ORG	60.82	10.2	-0.8	60.02
get	Eng	O/ORG	48.04	13.69	-0.8	47.24
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
same	Eng	O/ORG	49.13	34.36	-0.8	48.330000000000005
health	Eng	O/ORG	48.19	8.62	-0.8	47.39
care	Eng	O	50.54	35.0	-0.8	49.74
services	Eng	O	56.41	48.61	-0.8	55.61
as	Eng	O	41.38	30.98	-0.8	40.580000000000005
anyone	Eng	O	55.37	20.77	-0.8	54.57
else	Eng	O	44.21	24.26	-0.8	43.410000000000004
.	Punct	O	N/A	N/A	N/A	N/A
If	Eng	O	41.12	4.97	-0.8	40.32
they	Eng	O	65.37	19.05	-0.8	64.57000000000001
make	Eng	O	50.59	18.5	-0.8	49.790000000000006
fun	Eng	O	36.4	23.58	-0.8	35.6
of	Eng	O	45.37	12.91	-0.8	44.57
how	Eng	O	45.28	13.44	-0.8	44.480000000000004
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
pronounced	Eng	O	43.98	20.09	-0.8	43.18
something	Eng	O/ORG	87.24	18.85	-0.8	86.44
do	Eng	O/ORG	42.25	32.38	-0.8	41.45
they	Eng	O/ORG	65.37	19.05	-0.8	64.57000000000001
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
