Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
that	Eng	O	68.72	14.42	-0.8	67.92
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
fav	Eng	O/ORG	10.86	8.71	-0.8	10.059999999999999
dutch	Eng	O/ORG	28.74	12.82	-0.8	27.939999999999998
shirt	Eng	O/ORG	37.34	6.59	-0.8	36.540000000000006
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
