Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
'	Punct	O	N/A	N/A	N/A	N/A
ve	Eng	O	41.64	33.49	-0.8	40.84
noticed	Eng	O	54.07	28.68	-0.8	53.27
as	Eng	O	41.38	30.98	-0.8	40.580000000000005
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
Latina	Spn	O/LUG	26.77	39.18	-2.38	36.8
who	Eng	O	43.84	15.11	-2.38	41.46
doesn	Eng	O	51.86	9.83	-0.8	51.06
'	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O/ORG	40.21	10.87	-0.8	39.410000000000004
speak	Eng	O/ORG	38.44	9.07	-0.8	37.64
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
that	Eng	O/ORG	68.72	14.42	-0.8	67.92
latines	Spn	O/ORG	34.63	41.96	-2.38	39.58
are	Eng	O	50.46	30.0	-2.38	48.08
nicer	Eng	O	41.46	29.72	-0.8	40.660000000000004
and	Eng	O	58.08	26.56	-0.8	57.28
more	Eng	O	53.89	32.84	-0.8	53.09
accepting	Eng	O/ORG	53.88	13.19	-0.8	53.080000000000005
to	Eng	O/ORG	48.13	29.93	-0.8	47.330000000000005
non	Eng	O/ORG	32.68	30.02	-0.8	31.88
-	Punct	O	N/A	N/A	N/A	N/A
latines	Spn	O/ORG	34.63	41.96	-2.38	39.58
practicing	Eng	O/ORG	51.42	24.12	-2.38	49.04
/	Punct	O	N/A	N/A	N/A	N/A
learning	Eng	O/ORG	59.28	13.66	-0.8	58.480000000000004
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
than	Eng	O	56.77	25.06	-0.8	55.970000000000006
people	Eng	O	65.53	26.25	-0.8	64.73
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
