Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Bro	Spn	O	22.33	29.28	-2.38	26.900000000000002
even	Eng	O	50.32	32.92	-2.38	47.94
the	Eng	O	60.83	27.05	-0.8	60.03
“	Punct	O	N/A	N/A	N/A	N/A
parent	Eng	O	54.6	29.24	-0.8	53.800000000000004
”	Punct	O	N/A	N/A	N/A	N/A
doesn	Eng	O	51.86	9.83	-0.8	51.06
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
say	Eng	O	43.93	22.05	-0.8	43.13
“	Punct	O	N/A	N/A	N/A	N/A
un	Spn	O	21.77	40.51	-2.38	38.129999999999995
problema	Spn	O	44.12	55.0	-1.01	53.99
”	Punct	O	N/A	N/A	N/A	N/A
right	Eng	O/ORG	61.96	14.85	-2.38	59.58
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
