Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
My	Eng	O	41.2	20.91	-0.8	40.400000000000006
parents	Eng	O	56.12	30.91	-0.8	55.32
used	Eng	O	48.97	21.24	-0.8	48.17
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
make	Eng	O	50.59	18.5	-0.8	49.790000000000006
fun	Eng	O/ORG	36.4	23.58	-0.8	35.6
of	Eng	O/ORG	45.37	12.91	-0.8	44.57
me	Eng	O/ORG	41.15	43.0	-0.8	40.35
for	Eng	O/ORG	47.94	28.79	-0.8	47.14
not	Eng	O/ORG	48.64	20.26	-0.8	47.84
knowing	Eng	O/ORG	65.04	5.5	-0.8	64.24000000000001
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
when	Eng	O/ORG	56.49	15.56	-0.8	55.690000000000005
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
went	Eng	O/ORG	52.5	1.61	-0.8	51.7
to	Eng	O/ORG	48.13	29.93	-0.8	47.330000000000005
college	Eng	O/ORG	56.38	28.78	-0.8	55.580000000000005
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
made	Eng	O/ORG	44.26	35.03	-0.8	43.46
them	Eng	O/ORG	58.74	12.49	-0.8	57.940000000000005
pay	Eng	O/ORG	40.13	23.41	-0.8	39.330000000000005
thousands	Eng	O/ORG	68.61	12.75	-0.8	67.81
of	Eng	O	45.37	12.91	-0.8	44.57
dollars	Eng	O	60.77	19.92	-0.8	59.970000000000006
for	Eng	O	47.94	28.79	-0.8	47.14
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
Spanish	Eng	O/OTROS	39.06	8.16	-0.8	38.260000000000005
classes	Eng	O	50.61	32.05	-0.8	49.81
🤷	Punct	O	N/A	N/A	N/A	N/A
🏾	Punct	O	N/A	N/A	N/A	N/A
‍	Punct	O	N/A	N/A	N/A	N/A
♀	Punct	O	N/A	N/A	N/A	N/A
️	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
