Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
guys	Eng	O	40.97	13.02	-0.8	40.17
!	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
sesenta	Spn	O	23.61	47.64	-2.38	45.26
come	Eng	O	51.52	43.99	-2.38	49.14
first	Eng	O	52.19	16.64	-0.8	51.39
because	Eng	O	75.01	22.56	-0.8	74.21000000000001
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
is	Eng	O	44.66	21.08	-0.8	43.86
before	Eng	O	59.48	17.29	-0.8	58.68
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
in	Eng	O	45.41	25.29	-0.8	44.61
the	Eng	O	60.83	27.05	-0.8	60.03
alphabet	Eng	O	26.47	4.65	-0.8	25.669999999999998
!	Punct	O	N/A	N/A	N/A	N/A
!	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
