Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
lost	Eng	O/ORG	43.61	19.3	-0.8	42.81
my	Eng	O/ORG	41.2	20.91	-0.8	40.400000000000006
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
for	Eng	O	47.94	28.79	-0.8	47.14
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
bit	Eng	O/ORG	42.62	9.94	-0.8	41.82
but	Eng	O/ORG	51.93	13.76	-0.8	51.13
slowly	Eng	O/ORG	34.32	5.08	-0.8	33.52
getting	Eng	O/ORG	68.58	9.63	-0.8	67.78
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
Back	Eng	O/ORG	45.64	16.76	-0.8	44.84
💪	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
