Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
So	Eng	O	43.57	28.06	-0.8	42.77
sad	Eng	O	35.91	19.12	-0.8	35.11
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
hear	Eng	O	46.37	28.41	-0.8	45.57
.	Punct	O	N/A	N/A	N/A	N/A
Thank	Eng	O	53.77	16.35	-0.8	52.970000000000006
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
for	Eng	O	47.94	28.79	-0.8	47.14
your	Eng	O	56.33	24.2	-0.8	55.53
service	Eng	O	55.36	42.93	-0.8	54.56
and	Eng	O	58.08	26.56	-0.8	57.28
effort	Eng	O	36.73	9.17	-0.8	35.93
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
save	Eng	O	46.05	24.0	-0.8	45.25
more	Eng	O	53.89	32.84	-0.8	53.09
people	Eng	O	65.53	26.25	-0.8	64.73
by	Eng	O	35.52	13.53	-0.8	34.720000000000006
having	Eng	O	63.93	14.44	-0.8	63.13
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
heart	Eng	O	46.79	15.24	-0.8	45.99
and	Eng	O	58.08	26.56	-0.8	57.28
desire	Eng	O	40.75	34.87	-0.8	39.95
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
help	Eng	O/ORG	38.45	13.01	-0.8	37.650000000000006
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
