Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
numbers	Eng	O	49.69	15.33	-0.8	48.89
after	Eng	O	50.9	25.22	-0.8	50.1
10	Num	O	N/A	N/A	N/A	N/A
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
so	Eng	O	43.57	28.06	-0.8	42.77
confusing	Eng	O/ORG	52.24	30.3	-0.8	51.440000000000005
in	Eng	O/ORG	45.41	25.29	-0.8	44.61
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
.	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
