Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Ok	Eng	O	20.48	9.02	-0.8	19.68
ok	Eng	O	20.48	9.02	-0.8	19.68
can	Eng	O	46.96	33.02	-0.8	46.160000000000004
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
say	Eng	O/ORG	43.93	22.05	-0.8	43.13
something	Eng	O/ORG	87.24	18.85	-0.8	86.44
hella	Spn	O	28.08	34.44	-2.38	32.059999999999995
funny	Eng	O	44.71	19.74	-2.38	42.33
look	Eng	O	43.99	14.72	-0.8	43.190000000000005
this	Eng	O	59.86	22.07	-0.8	59.06
happened	Eng	O	63.6	15.24	-0.8	62.800000000000004
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
me	Eng	O	41.15	43.0	-0.8	40.35
like	Eng	O	57.49	21.32	-0.8	56.690000000000005
twice	Eng	O	46.34	18.98	-0.8	45.540000000000006
i	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
used	Eng	O/ORG	48.97	21.24	-0.8	48.17
to	Eng	O/ORG	48.13	29.93	-0.8	47.330000000000005
work	Eng	O/ORG	47.7	2.12	-0.8	46.900000000000006
in	Eng	O/ORG	45.41	25.29	-0.8	44.61
rancho	Spn	O/ORG	28.56	40.36	-2.38	37.98
San	Spn	LOCATION/ORG	29.29	31.92	-1.01	30.91
Miguel	Spn	LOCATION/ORG	23.4	30.07	-1.01	29.06
in	Eng	O/ORG	45.41	25.29	-2.38	43.029999999999994
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
meet	Eng	O/ORG	40.47	14.53	-0.8	39.67
Department	Eng	ORGANIZATION/ORG	60.41	18.62	-0.8	59.61
so	Eng	O/ORG	43.57	28.06	-0.8	42.77
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
was	Eng	O/ORG	51.72	16.52	-0.8	50.92
helping	Eng	O/ORG	56.71	14.89	-0.8	55.910000000000004
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
