Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
me	Spn	O	41.15	43.0	-2.38	40.62
hace	Spn	O	31.01	47.7	-1.01	46.690000000000005
pensar	Spn	O	25.55	49.33	-1.01	48.32
en	Spn	O	25.45	42.54	-1.01	41.53
mi	Spn	O	18.08	38.03	-1.01	37.02
hermano	Spn	O	34.16	57.22	-1.01	56.21
likr	Eng	O	20.8	10.07	-2.38	18.42
bigtimeeeee	Eng	O	16.2	6.78	-0.8	15.399999999999999
😅	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
