Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
ITS	Eng	O/ORG	40.87	11.62	-0.8	40.07
ABOUT	Eng	O/ORG	62.63	15.69	-0.8	61.830000000000005
DRIVE	Eng	O	49.61	19.96	-0.8	48.81
⁉	Punct	O	N/A	N/A	N/A	N/A
️	Punct	O	N/A	N/A	N/A	N/A
ITS	Eng	O/ORG	40.87	11.62	-0.8	40.07
ABOUT	Eng	O/ORG	62.63	15.69	-0.8	61.830000000000005
POWER	Eng	O	43.31	22.96	-0.8	42.510000000000005
🥶	Punct	O	N/A	N/A	N/A	N/A
WE	Eng	O	46.45	7.69	-0.8	45.650000000000006
STAY	Eng	O/ORG	44.62	14.9	-0.8	43.82
HUNGRY	Eng	O/ORG	41.04	12.83	-0.8	40.24
👹	Punct	O	N/A	N/A	N/A	N/A
🍗	Punct	O	N/A	N/A	N/A	N/A
WE	Eng	O	46.45	7.69	-0.8	45.650000000000006
DEVOUR	Eng	O	31.97	25.12	-0.8	31.169999999999998
😈	Punct	O	N/A	N/A	N/A	N/A
🗣	Punct	O	N/A	N/A	N/A	N/A
💯	Punct	O	N/A	N/A	N/A	N/A
‼	Punct	O	N/A	N/A	N/A	N/A
️	Punct	O	N/A	N/A	N/A	N/A
PUT	Eng	O/ORG	43.43	16.46	-0.8	42.63
IN	Eng	O/ORG	45.41	25.29	-0.8	44.61
THE	Eng	O/ORG	60.83	27.05	-0.8	60.03
WORK	Eng	O/ORG	47.7	2.12	-0.8	46.900000000000006
😮	Punct	O	N/A	N/A	N/A	N/A
‍	Punct	O	N/A	N/A	N/A	N/A
💨	Punct	O	N/A	N/A	N/A	N/A
💪	Punct	O	N/A	N/A	N/A	N/A
PUT	Eng	O/ORG	43.43	16.46	-0.8	42.63
IN	Eng	O/ORG	45.41	25.29	-0.8	44.61
THE	Eng	O/ORG	60.83	27.05	-0.8	60.03
HOURS	Eng	O/ORG	48.2	12.2	-0.8	47.400000000000006
😈	Punct	O	N/A	N/A	N/A	N/A
💪	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
