Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
People	Eng	O	65.53	26.25	-0.8	64.73
who	Eng	O	43.84	15.11	-0.8	43.040000000000006
saying	Eng	O	60.24	14.64	-0.8	59.440000000000005
she	Eng	O	47.98	20.49	-0.8	47.18
ain	Eng	O	33.1	18.89	-0.8	32.300000000000004
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O/ORG	40.21	10.87	-0.8	39.410000000000004
Mexican	Spn	O/ORG	37.7	44.86	-2.38	42.48
probably	Eng	O/ORG	71.13	31.99	-2.38	68.75
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
same	Eng	O/ORG	49.13	34.36	-0.8	48.330000000000005
ones	Eng	O	48.66	32.65	-0.8	47.86
who	Eng	O	43.84	15.11	-0.8	43.040000000000006
say	Eng	O	43.93	22.05	-0.8	43.13
“	Punct	O	N/A	N/A	N/A	N/A
they	Eng	O	65.37	19.05	-0.8	64.57000000000001
’	Punct	O	N/A	N/A	N/A	N/A
re	Eng	O	44.29	29.91	-0.8	43.49
speaking	Eng	O/ORG	60.78	9.45	-0.8	59.980000000000004
Mexican	Spn	O/ORG	37.7	44.86	-2.38	42.48
”	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
