Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
That	Eng	O	68.72	14.42	-0.8	67.92
'	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
bc	Eng	O	4.51	0.41	-0.8	3.71
they	Eng	O	65.37	19.05	-0.8	64.57000000000001
think	Eng	O	65.69	9.38	-0.8	64.89
we	Eng	O	46.45	7.69	-0.8	45.650000000000006
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
only	Eng	O	49.65	9.4	-0.8	48.85
brown	Eng	O	40.06	17.95	-0.8	39.260000000000005
skin	Eng	O	29.51	13.7	-0.8	28.71
and	Eng	O	58.08	26.56	-0.8	57.28
black	Eng	O	40.54	13.24	-0.8	39.74
or	Eng	O	41.56	23.53	-0.8	40.760000000000005
white	Eng	O	48.39	21.6	-0.8	47.59
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
like	Eng	O	57.49	21.32	-0.8	56.690000000000005
invisible	Eng	O	47.22	44.44	-0.8	46.42
for	Eng	O	47.94	28.79	-0.8	47.14
them	Eng	O	58.74	12.49	-0.8	57.940000000000005
lmao	Spn	O	6.5	12.41	-2.38	10.030000000000001
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
