Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
How	Eng	O	45.28	13.44	-0.8	44.480000000000004
is	Eng	O	44.66	21.08	-0.8	43.86
this	Eng	O	59.86	22.07	-0.8	59.06
foo	Eng	O	27.16	14.02	-0.8	26.36
struggling	Eng	O	54.58	5.21	-0.8	53.78
with	Eng	O	54.27	4.16	-0.8	53.470000000000006
both	Eng	O	43.29	14.68	-0.8	42.49
languages	Eng	O	48.25	24.25	-0.8	47.45
dawg	Eng	O	11.55	5.31	-0.8	10.75
😂	Punct	O	N/A	N/A	N/A	N/A
🤣	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
