Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
did	Eng	O	44.21	19.81	-0.8	43.410000000000004
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
'	Punct	O	N/A	N/A	N/A	N/A
all	Eng	O/ORG	47.74	25.64	-2.38	45.36
just	Eng	O/ORG	56.89	16.33	-0.8	56.09
forget	Eng	O/ORG	51.27	10.25	-0.8	50.470000000000006
about	Eng	O/ORG	62.63	15.69	-0.8	61.830000000000005
Spain	Eng	LOCATION/ORG	32.83	13.25	-0.8	32.03
existing	Eng	O/ORG	49.83	30.95	-0.8	49.03
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
