Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
didn	Eng	O	48.99	16.56	-0.8	48.190000000000005
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
have	Eng	O	60.11	28.54	-0.8	59.31
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
come	Eng	O	51.52	43.99	-0.8	50.720000000000006
for	Eng	O	47.94	28.79	-0.8	47.14
me	Eng	O	41.15	43.0	-0.8	40.35
that	Eng	O	68.72	14.42	-0.8	67.92
hard	Eng	O	46.48	24.73	-0.8	45.68
😭	Punct	O	N/A	N/A	N/A	N/A
😭	Punct	O	N/A	N/A	N/A	N/A
😭	Punct	O	N/A	N/A	N/A	N/A
💀	Punct	O	N/A	N/A	N/A	N/A
💀	Punct	O	N/A	N/A	N/A	N/A
💀	Punct	O	N/A	N/A	N/A	N/A
💀	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
