Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Thank	Eng	O	53.77	16.35	-0.8	52.970000000000006
u	Eng	O	15.23	13.34	-0.8	14.43
for	Eng	O	47.94	28.79	-0.8	47.14
this	Eng	O	59.86	22.07	-0.8	59.06
.	Punct	O	N/A	N/A	N/A	N/A
My	Eng	O	41.2	20.91	-0.8	40.400000000000006
grandfather	Eng	O	61.6	30.86	-0.8	60.800000000000004
wanted	Eng	O	59.37	14.2	-0.8	58.57
us	Eng	O	36.11	21.64	-0.8	35.31
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
assimilate	Eng	O	41.69	27.54	-0.8	40.89
so	Eng	O	43.57	28.06	-0.8	42.77
bad	Eng	O	40.9	20.21	-0.8	40.1
he	Eng	O	44.49	34.18	-0.8	43.690000000000005
refused	Eng	O	45.69	21.5	-0.8	44.89
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
teach	Eng	O/ORG	49.19	17.71	-0.8	48.39
my	Eng	O/ORG	41.2	20.91	-0.8	40.400000000000006
mom	Eng	O/ORG	34.1	16.88	-0.8	33.300000000000004
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
and	Eng	O/ORG	58.08	26.56	-0.8	57.28
wouldn	Eng	O/ORG	61.72	-0.63	-0.8	60.92
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O/ORG	40.21	10.87	-0.8	39.410000000000004
let	Eng	O/ORG	41.33	17.8	-0.8	40.53
them	Eng	O/ORG	58.74	12.49	-0.8	57.940000000000005
listen	Eng	O/ORG	51.19	40.85	-0.8	50.39
to	Eng	O/ORG	48.13	29.93	-0.8	47.330000000000005
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
music	Eng	O/ORG	40.17	16.31	-0.8	39.370000000000005
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
