Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
i	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
thought	Eng	O/ORG	72.78	5.82	-0.8	71.98
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
accent	Eng	O	46.76	13.52	-0.8	45.96
was	Eng	O	51.72	16.52	-0.8	50.92
good	Eng	O	51.82	19.01	-0.8	51.02
until	Eng	O	41.68	25.6	-0.8	40.88
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
tía	Spn	O	7.13	33.29	-2.38	30.91
said	Eng	O	47.81	17.28	-2.38	45.43
that	Eng	O	68.72	14.42	-0.8	67.92
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
cousin	Eng	O	41.62	23.32	-0.8	40.82
'	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
is	Eng	O	44.66	21.08	-0.8	43.86
first	Eng	O	52.19	16.64	-0.8	51.39
and	Eng	O	58.08	26.56	-0.8	57.28
mind	Eng	O	45.97	20.01	-0.8	45.17
is	Eng	O	44.66	21.08	-0.8	43.86
second	Eng	O/ORG	50.13	21.93	-0.8	49.330000000000005
😢	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
