Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
“	Punct	O	N/A	N/A	N/A	N/A
But	Eng	O/ORG	51.93	13.76	-0.8	51.13
stay	Eng	O/ORG	44.62	14.9	-0.8	43.82
the	Eng	O	60.83	27.05	-0.8	60.03
camera	Spn	O	36.36	43.77	-2.38	41.39
there	Eng	O	70.66	28.64	-2.38	68.28
”	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
🥺	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
