Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Lmaooo	Eng	O	8.83	9.8	-0.8	8.03
the	Eng	O	60.83	27.05	-0.8	60.03
“	Punct	O	N/A	N/A	N/A	N/A
no	Spn	O	39.04	44.89	-2.38	42.51
sabo	Spn	O	16.37	33.68	-1.01	32.67
”	Punct	O	N/A	N/A	N/A	N/A
kid	Eng	O	38.19	9.68	-2.38	35.809999999999995
is	Eng	O	44.66	21.08	-0.8	43.86
bk	Eng	O/ORG	6.69	0.84	-0.8	5.890000000000001
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
