Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Me	Spn	O	41.15	43.0	-2.38	40.62
with	Eng	O	54.27	4.16	-2.38	51.89
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
kid	Eng	O	38.19	9.68	-0.8	37.39
.	Punct	O	N/A	N/A	N/A	N/A
He	Eng	O	44.49	34.18	-0.8	43.690000000000005
literally	Eng	O	59.34	18.74	-0.8	58.540000000000006
understands	Eng	O	65.83	15.07	-0.8	65.03
everything	Eng	O	85.75	6.69	-0.8	84.95
.	Punct	O	N/A	N/A	N/A	N/A
But	Eng	O/ORG	51.93	13.76	-0.8	51.13
he	Eng	O	44.49	34.18	-0.8	43.690000000000005
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
no	Spn	O	39.04	44.89	-2.38	42.51
sabo	Spn	O	16.37	33.68	-1.01	32.67
kid	Eng	O	38.19	9.68	-2.38	35.809999999999995
.	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
