Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
love	Eng	O	45.41	24.46	-0.8	44.61
how	Eng	O	45.28	13.44	-0.8	44.480000000000004
she	Eng	O/ORG	47.98	20.49	-0.8	47.18
corrects	Eng	O/ORG	44.28	32.59	-0.8	43.480000000000004
you	Eng	O/ORG	56.67	25.36	-0.8	55.870000000000005
…	Punct	O	N/A	N/A	N/A	N/A
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
what	Eng	O/ORG	61.03	9.63	-0.8	60.230000000000004
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
need	Eng	O	46.91	20.22	-0.8	46.11
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
do	Eng	O	42.25	32.38	-0.8	41.45
😭	Punct	O	N/A	N/A	N/A	N/A
so	Eng	O	43.57	28.06	-0.8	42.77
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
kids	Eng	O/ORG	46.98	8.94	-0.8	46.18
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
can	Eng	O	46.96	33.02	-0.8	46.160000000000004
improve	Eng	O	49.07	29.99	-0.8	48.27
hahaha	Spn	O	13.83	18.13	-2.38	15.75
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
