Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Did	Eng	O	44.21	19.81	-0.8	43.410000000000004
encanto	Spn	O	24.1	55.12	-2.38	52.739999999999995
teach	Eng	O	49.19	17.71	-2.38	46.809999999999995
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
’	Punct	O	N/A	N/A	N/A	N/A
all	Eng	O	47.74	25.64	-2.38	45.36
nothing	Eng	O	67.58	19.75	-0.8	66.78
?	Punct	O	N/A	N/A	N/A	N/A
🙄	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
