Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Plot	Eng	O/ORG	37.25	15.08	-0.8	36.45
twist	Eng	O/ORG	38.8	5.22	-0.8	38.0
he	Eng	O	44.49	34.18	-0.8	43.690000000000005
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
also	Eng	O	46.43	25.86	-0.8	45.63
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
no	Spn	O	39.04	44.89	-2.38	42.51
sabo	Spn	O	16.37	33.68	-1.01	32.67
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
is	Eng	O	44.66	21.08	-0.8	43.86
just	Eng	O/ORG	56.89	16.33	-0.8	56.09
going	Eng	O/ORG	62.31	13.65	-0.8	61.510000000000005
with	Eng	O/ORG	54.27	4.16	-0.8	53.470000000000006
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
