Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
It	Eng	O	50.11	11.76	-0.8	49.31
really	Eng	O	69.21	24.1	-0.8	68.41
pisses	Eng	O	33.18	28.31	-0.8	32.38
me	Eng	O	41.15	43.0	-0.8	40.35
off	Eng	O	42.22	10.14	-0.8	41.42
that	Eng	O	68.72	14.42	-0.8	67.92
we	Eng	O	46.45	7.69	-0.8	45.650000000000006
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
labeled	Eng	O	38.19	20.89	-0.8	37.39
as	Eng	O	41.38	30.98	-0.8	40.580000000000005
the	Eng	O	60.83	27.05	-0.8	60.03
race	Eng	O	35.87	28.5	-0.8	35.07
that	Eng	O	68.72	14.42	-0.8	67.92
doesn	Eng	O	51.86	9.83	-0.8	51.06
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
complain	Eng	O	55.38	34.04	-0.8	54.580000000000005
and	Eng	O	58.08	26.56	-0.8	57.28
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
praised	Eng	O	43.68	18.77	-0.8	42.88
for	Eng	O	47.94	28.79	-0.8	47.14
it	Eng	O	50.11	11.76	-0.8	49.31
sometimes	Eng	O	76.43	35.42	-0.8	75.63000000000001
.	Punct	O	N/A	N/A	N/A	N/A
We	Eng	O	46.45	7.69	-0.8	45.650000000000006
shouldn	Eng	O	61.35	5.73	-0.8	60.550000000000004
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
be	Eng	O	42.62	20.92	-0.8	41.82
ashamed	Eng	O	35.06	12.29	-0.8	34.260000000000005
for	Eng	O	47.94	28.79	-0.8	47.14
speaking	Eng	O/ORG	60.78	9.45	-0.8	59.980000000000004
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
