Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
know	Eng	O/ORG	60.3	6.12	-0.8	59.5
Spanish	Eng	O/ORG	39.06	8.16	-0.8	38.260000000000005
so	Eng	O/ORG	43.57	28.06	-0.8	42.77
well	Eng	O/ORG	57.6	13.82	-0.8	56.800000000000004
but	Eng	O/ORG	51.93	13.76	-0.8	51.13
these	Eng	O	62.33	30.24	-0.8	61.53
are	Eng	O	50.46	30.0	-0.8	49.660000000000004
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
worst	Eng	O/OTROS	48.0	-0.95	-0.8	47.2
enemy	Eng	O	30.62	23.17	-0.8	29.82
and	Eng	O	58.08	26.56	-0.8	57.28
I	Eng	O/OTROS	42.31	11.38	-0.8	41.510000000000005
will	Eng	O/OTROS	48.96	7.58	-0.8	48.160000000000004
never	Eng	O	54.2	28.98	-0.8	53.400000000000006
learn	Eng	O	42.31	12.41	-0.8	41.510000000000005
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
