Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
’	Punct	O	N/A	N/A	N/A	N/A
m	Eng	O	33.66	10.74	-0.8	32.86
sorry	Eng	O	46.41	23.72	-0.8	45.61
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
dad	Eng	O/ORG	35.2	30.34	-0.8	34.400000000000006
left	Eng	O/ORG	37.39	9.56	-0.8	36.59
me	Eng	O/ORG	41.15	43.0	-0.8	40.35
at	Eng	O/ORG	43.35	13.78	-0.8	42.550000000000004
birth	Eng	O/ORG	37.22	15.57	-0.8	36.42
but	Eng	O/ORG	51.93	13.76	-0.8	51.13
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
do	Eng	O/ORG	42.25	32.38	-0.8	41.45
make	Eng	O/ORG	50.59	18.5	-0.8	49.790000000000006
up	Eng	O/ORG	37.07	9.61	-0.8	36.27
for	Eng	O/ORG	47.94	28.79	-0.8	47.14
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
by	Eng	O/ORG	35.52	13.53	-0.8	34.720000000000006
cooking	Eng	O/ORG	59.48	18.78	-0.8	58.68
singing	Eng	O/ORG	51.16	18.94	-0.8	50.36
and	Eng	O/ORG	58.08	26.56	-0.8	57.28
dancing	Eng	O/ORG	45.28	19.35	-0.8	44.480000000000004
tho	Eng	O	34.23	18.58	-0.8	33.43
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
