Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Why	Eng	O	41.66	5.84	-0.8	40.86
is	Eng	O	44.66	21.08	-0.8	43.86
no	Spn	O	39.04	44.89	-2.38	42.51
one	Eng	O	49.51	25.47	-2.38	47.129999999999995
talking	Eng	O/ORG	67.5	20.92	-0.8	66.7
about	Eng	O/ORG	62.63	15.69	-0.8	61.830000000000005
that	Eng	O/ORG	68.72	14.42	-0.8	67.92
kid	Eng	O/ORG	38.19	9.68	-0.8	37.39
wanting	Eng	O/ORG	61.73	6.05	-0.8	60.93
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
beer	Eng	O	40.78	23.35	-0.8	39.980000000000004
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
