Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
When	Eng	O	56.49	15.56	-0.8	55.690000000000005
My	Eng	O	41.2	20.91	-0.8	40.400000000000006
little	Eng	O	62.57	24.78	-0.8	61.77
one	Eng	O	49.51	25.47	-0.8	48.71
was	Eng	O	51.72	16.52	-0.8	50.92
trying	Eng	O	62.95	14.11	-0.8	62.150000000000006
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
say	Eng	O/ORG	43.93	22.05	-0.8	43.13
I	Eng	O/ORG	42.31	11.38	-0.8	41.510000000000005
’	Punct	O	N/A	N/A	N/A	N/A
m	Eng	O	33.66	10.74	-0.8	32.86
embarrassed	Eng	O	42.78	25.34	-0.8	41.980000000000004
instead	Eng	O	54.64	19.76	-0.8	53.84
he	Eng	O	44.49	34.18	-0.8	43.690000000000005
said	Eng	O	47.81	17.28	-0.8	47.010000000000005
“	Punct	O	N/A	N/A	N/A	N/A
estoy	Spn	O	19.2	54.11	-2.38	51.73
embarazado	Spn	O	19.06	47.84	-1.01	46.830000000000005
”	Punct	O	N/A	N/A	N/A	N/A
😬	Punct	O	N/A	N/A	N/A	N/A
😅	Punct	O	N/A	N/A	N/A	N/A
😅	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
