Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
confirmado	Spn	O	28.69	58.91	-2.38	56.529999999999994
si	Spn	O	14.77	35.22	-1.01	34.21
esta	Spn	O	22.4	52.76	-1.01	51.75
pareja	Spn	O	21.2	46.63	-1.01	45.620000000000005
termina	Spn	O	38.25	51.26	-1.01	50.25
dejo	Spn	O	12.84	39.74	-1.01	38.730000000000004
de	Spn	O	26.21	47.06	-1.01	46.050000000000004
creer	Spn	O	34.78	42.58	-1.01	41.57
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
el	Spn	O	19.84	42.02	-1.01	41.010000000000005
amor	Spn	O	26.67	41.81	-1.01	40.800000000000004
mana	Spn	O	32.63	42.49	-1.01	41.480000000000004
😭	Punct	O	N/A	N/A	N/A	N/A
🤚	Punct	O	N/A	N/A	N/A	N/A
🥺	Punct	O	N/A	N/A	N/A	N/A
😌	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
