Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
That	Eng	O/ORG	68.72	14.42	-0.8	67.92
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O	40.13	19.22	-0.8	39.330000000000005
use	Eng	O	45.34	29.16	-0.8	44.540000000000006
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
be	Eng	O	42.62	20.92	-0.8	41.82
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
dad	Eng	O	35.2	30.34	-0.8	34.400000000000006
fav	Eng	O	10.86	8.71	-0.8	10.059999999999999
song	Eng	O	42.41	20.88	-0.8	41.61
the	Eng	O	60.83	27.05	-0.8	60.03
one	Eng	O	49.51	25.47	-0.8	48.71
you	Eng	O	56.67	25.36	-0.8	55.870000000000005
blasted	Eng	O	42.66	35.24	-0.8	41.86
when	Eng	O	56.49	15.56	-0.8	55.690000000000005
y	Spn	O	21.5	34.41	-2.38	32.029999999999994
’	Punct	O	N/A	N/A	N/A	N/A
all	Eng	O/ORG	47.74	25.64	-2.38	45.36
got	Eng	O/ORG	48.21	15.31	-0.8	47.410000000000004
in	Eng	O/ORG	45.41	25.29	-0.8	44.61
the	Eng	O/ORG	60.83	27.05	-0.8	60.03
truck	Eng	O/ORG	42.16	16.5	-0.8	41.36
😂	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
