Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
This	Eng	O	59.86	22.07	-0.8	59.06
audio	Spn	O	26.89	31.86	-2.38	29.48
is	Eng	O	44.66	21.08	-2.38	42.279999999999994
hilarious	Eng	O	44.37	21.81	-0.8	43.57
and	Eng	O	58.08	26.56	-0.8	57.28
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
lot	Eng	O	46.99	17.08	-0.8	46.190000000000005
of	Eng	O	45.37	12.91	-0.8	44.57
us	Eng	O	36.11	21.64	-0.8	35.31
parents	Eng	O	56.12	30.91	-0.8	55.32
can	Eng	O	46.96	33.02	-0.8	46.160000000000004
relate	Eng	O	48.67	39.79	-0.8	47.870000000000005
!	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
😂	Punct	O	N/A	N/A	N/A	N/A
Your	Eng	O/ORG	56.33	24.2	-0.8	55.53
son	Eng	O	41.69	40.73	-0.8	40.89
nail	Eng	O/ORG	25.89	18.88	-0.8	25.09
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
