Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Haha	Spn	O	17.05	21.53	-2.38	19.150000000000002
reminds	Eng	O	43.41	15.53	-2.38	41.029999999999994
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
of	Eng	O	45.37	12.91	-0.8	44.57
HS	Eng	O	14.44	10.38	-0.8	13.639999999999999
Spanish	Eng	O/OTROS	39.06	8.16	-0.8	38.260000000000005
trying	Eng	O	62.95	14.11	-0.8	62.150000000000006
to	Eng	O	48.13	29.93	-0.8	47.330000000000005
have	Eng	O	60.11	28.54	-0.8	59.31
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
convo	Spn	O	24.36	33.2	-2.38	30.820000000000004
with	Eng	O	54.27	4.16	-2.38	51.89
my	Eng	O	41.2	20.91	-0.8	40.400000000000006
Mexican	Spn	O/ORG	37.7	44.86	-2.38	42.48
homies	Eng	O/ORG	38.87	31.41	-2.38	36.489999999999995
haha	Spn	O/ORG	17.05	21.53	-2.38	19.150000000000002
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
