Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Don	Eng	O	50.13	38.08	-0.8	49.330000000000005
’	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O	40.21	10.87	-0.8	39.410000000000004
mess	Eng	O	42.27	22.48	-0.8	41.470000000000006
with	Eng	O	54.27	4.16	-0.8	53.470000000000006
Gregorio	Spn	PERSON/PERS	19.01	31.85	-2.38	29.470000000000002
he	Eng	O	44.49	34.18	-2.38	42.11
a	Eng	O	39.06	38.09	-0.8	38.260000000000005
real	Eng	O	50.3	35.46	-0.8	49.5
one	Eng	O	49.51	25.47	-0.8	48.71
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
