Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Bro	Spn	O	22.33	29.28	-2.38	26.900000000000002
you	Eng	O	56.67	25.36	-2.38	54.29
live	Eng	O	49.93	23.75	-0.8	49.13
near	Eng	O	40.83	25.35	-0.8	40.03
bingo	Spn	O	25.03	32.49	-2.38	30.110000000000003
same	Eng	O	49.13	34.36	-2.38	46.75
HOUSTON	Eng	LOCATION/ORG	48.24	24.47	-0.8	47.440000000000005
TEXAS	Eng	LOCATION/ORG	36.31	27.85	-0.8	35.510000000000005
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
