Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
no	Spn	O	39.04	44.89	-2.38	42.51
los	Spn	O	23.65	49.6	-1.01	48.59
conozco	Spn	O	18.07	55.51	-1.01	54.5
mucho	Spn	O	34.14	54.35	-1.01	53.34
pero	Spn	O	24.95	52.4	-1.01	51.39
vi	Spn	O	12.87	21.16	-1.01	20.15
3	Num	O	N/A	N/A	N/A	N/A
platos	Spn	O	23.73	45.34	-1.01	44.330000000000005
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
viven	Spn	O	28.76	40.77	-1.01	39.760000000000005
con	Spn	O	33.09	47.17	-1.01	46.160000000000004
alguien	Spn	O	20.53	57.89	-1.01	56.88
más	Spn	O	6.97	45.12	-1.01	44.11
?	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
