Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
@	Punct	O	N/A	N/A	N/A	N/A
_evelyn	Spn	O	-6.07	-3.26	-2.38	-5.64
.	Punct	O	N/A	N/A	N/A	N/A
lopezz	Spn	O	5.64	7.49	-1.01	6.48
@	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
ashley_serrano	Spn	O	11.54	20.49	-1.01	19.479999999999997
ellen	Spn	O	27.27	35.81	-1.01	34.800000000000004
be	Eng	O	42.62	20.92	-2.38	40.239999999999995
like	Eng	O	57.49	21.32	-0.8	56.690000000000005
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
