Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
I	Eng	O	42.31	11.38	-0.8	41.510000000000005
heard	Eng	O	51.23	17.1	-0.8	50.43
this	Eng	O	59.86	22.07	-0.8	59.06
10x	Spn	O	-5.41	0.76	-2.38	-1.6199999999999999
and	Eng	O	58.08	26.56	-2.38	55.699999999999996
I	Eng	O/OTROS	42.31	11.38	-0.8	41.510000000000005
still	Eng	O/OTROS	53.2	12.74	-0.8	52.400000000000006
don	Eng	O	50.13	38.08	-0.8	49.330000000000005
'	Punct	O	N/A	N/A	N/A	N/A
t	Eng	O/ORG	40.21	10.87	-0.8	39.410000000000004
know	Eng	O/ORG	60.3	6.12	-0.8	59.5
what	Eng	O/ORG	61.03	9.63	-0.8	60.230000000000004
your	Eng	O/ORG	56.33	24.2	-0.8	55.53
trying	Eng	O/ORG	62.95	14.11	-0.8	62.150000000000006
to	Eng	O/ORG	48.13	29.93	-0.8	47.330000000000005
say	Eng	O/ORG	43.93	22.05	-0.8	43.13
.	Punct	O	N/A	N/A	N/A	N/A
.	Punct	O	N/A	N/A	N/A	N/A
glove	Eng	O	35.22	18.25	-0.8	34.42
?	Punct	O	N/A	N/A	N/A	N/A
?	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
