Token	Language	Named Entity	Eng-NGram Prob	Spn-NGram Prob	HMM Prob	Total Prob
Ayyy	Spn	O/ORG	5.24	8.61	-2.38	6.2299999999999995
I	Eng	O/ORG	42.31	11.38	-2.38	39.93
love	Eng	O/ORG	45.41	24.46	-0.8	44.61
Nayarit	Eng	LOCATION/ORG	17.67	8.51	-0.8	16.87
🥰	Punct	O	N/A	N/A	N/A	N/A
it	Eng	O/ORG	50.11	11.76	-0.8	49.31
’	Punct	O	N/A	N/A	N/A	N/A
s	Eng	O/ORG	40.13	19.22	-0.8	39.330000000000005
beautiful	Eng	O/ORG	51.42	11.64	-0.8	50.620000000000005
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
,	Punct	O	N/A	N/A	N/A	N/A
